ID,Fecha_Registro,Etapa_Cadena,Region_Origen,Tipo_Certificacion,Metodo_Transporte,Canal_Comercializacion,Rendimiento_ha_ton,Dias_Cosecha_Procesamiento,Perdidas_Acopio_porcentaje,Tiempo_Fritura_min,Costo_Produccion_USD_kg,Precio_Venta_USD_kg,Puntuacion_Calidad_1_10,ID_Lote,Margen_Ganancia_USD_kg,Eficiencia_Logistica_porcentaje,Precio_Relativo,Apreciacion_Producto,Puntuacion_Calidad_Antes
142,2024-03-26,Distribución,Sierra,Convencional,No refrigerado,No aplica,"22,29",4,"5,57","5,2","1,63","6,93","5,4",L142-Sie,"5,3","94,43","4,251533742",Negativa,"4,9"
143,2024-12-03,Venta,Costa,Convencional,No refrigerado,Mercados locales,25,6,"4,51",4,"1,04","5,93","8,2",L143-Cos,"4,89","95,49","5,701923077",Positiva,"7,5"
144,2024-08-19,Cosecha,Costa,Orgánico,Refrigerado,No aplica,"21,98",5,"4,93","4,5","1,82","6,95","9,5",L144-Cos,"5,13","95,07","3,818681319",Positiva,"8,6"
145,2024-11-09,Distribución,Costa,Convencional,Refrigerado,No aplica,"22,58",1,"7,82","5,3","1,05","7,36","6,6",L145-Cos,"6,31","92,18","7,00952381",Negativa,"5,2"
146,2024-03-27,Acopio,Sierra,Convencional,No refrigerado,No aplica,"15,63",2,"7,3","4,2","1,32","4,6","4,2",L146-Sie,"3,28","92,7","3,484848485",Negativa,4
147,2024-09-17,Distribución,Costa,Orgánico,No refrigerado,No aplica,"20,4",5,"4,1","6,3","2,16","4,74","9,4",L147-Cos,"2,58","95,9","2,194444444",Positiva,"8,1"
148,2024-02-18,Procesamiento,Sierra,Orgánico,Refrigerado,No aplica,"18,07",1,"3,77","6,3","2,12","5,53","6,9",L148-Sie,"3,41","96,23","2,608490566",Negativa,"6,3"
149,2024-06-29,Acopio,Costa,Orgánico,Mixto,No aplica,"23,92",4,"6,79","4,9","2,48","6,41","7,4",L149-Cos,"3,93","93,21","2,584677419",Positiva,"5,9"
150,2024-10-04,Venta,Costa,Convencional,Refrigerado,Supermercados,"22,46",1,"5,61","5,3","1,24","8,45","6,3",L150-Cos,"7,21","94,39","6,814516129",Negativa,"5,4"
151,2024-05-05,Acopio,Selva,Convencional,No refrigerado,No aplica,"16,36",2,"4,81","5,6","1,44","4,88","9,1",L151-Sel,"3,44","95,19","3,388888889",Positiva,"7,8"
152,2024-10-09,Venta,Costa,Convencional,No refrigerado,Supermercados,"22,65",5,"3,3","4,5","0,93","8,9",7,L152-Cos,"7,97","96,7","9,569892473",Positiva,"6,2"
153,2024-10-07,Venta,Costa,Convencional,Refrigerado,Supermercados,"23,61",3,"5,08","5,7","1,49","9,49",9,L153-Cos,8,"94,92","6,369127517",Positiva,"7,9"
154,2024-01-10,Distribución,Costa,Convencional,Refrigerado,No aplica,"23,66",1,"4,95","4,6","1,68","6,63","6,3",L154-Cos,"4,95","95,05","3,946428571",Negativa,"5,6"
155,2024-01-14,Distribución,Sierra,Convencional,No refrigerado,No aplica,"19,72",5,"3,04","6,3","0,84","6,98",4,L155-Sie,"6,14","96,96","8,30952381",Negativa,4
156,2024-01-24,Distribución,Costa,Convencional,No refrigerado,No aplica,"21,79",4,"9,97","5,1","1,25","6,89","8,8",L156-Cos,"5,64","90,03","5,512",Positiva,"7,4"
157,2024-08-03,Acopio,Costa,Convencional,Refrigerado,No aplica,"21,21",5,"3,65","5,8","1,28","6,57","6,7",L157-Cos,"5,29","96,35","5,1328125",Negativa,"5,3"
158,2024-05-31,Cosecha,Costa,Convencional,Refrigerado,No aplica,25,3,"4,89","6,5","1,3","4,31","7,2",L158-Cos,"3,01","95,11","3,315384615",Positiva,"5,8"
159,2024-04-22,Acopio,Sierra,Convencional,No refrigerado,No aplica,15,5,"3,86","6,2","1,04","5,49","8,2",L159-Sie,"4,45","96,14","5,278846154",Positiva,"7,1"
160,2024-05-03,Procesamiento,Sierra,En transición,Mixto,No aplica,"15,44",6,"8,47","4,5","1,49","7,96","9,5",L160-Sie,"6,47","91,53","5,342281879",Positiva,"8,2"
161,2024-12-30,Acopio,Sierra,Convencional,Refrigerado,No aplica,15,5,"7,9","5,8","1,39","6,79","5,5",L161-Sie,"5,4","92,1","4,884892086",Negativa,"4,9"
162,2024-09-16,Distribución,Costa,Convencional,Refrigerado,No aplica,"20,62",4,"8,62","5,4","1,28","4,53",4,L162-Cos,"3,25","91,38","3,5390625",Negativa,4
163,2024-12-29,Cosecha,Selva,En transición,No refrigerado,No aplica,"18,61",2,"10,26",6,"1,76","4,28","6,9",L163-Sel,"2,52","89,74","2,431818182",Negativa,"6,1"
164,2024-03-24,Cosecha,Costa,Orgánico,Refrigerado,No aplica,"19,86",1,"6,66","4,2","1,99","4,13","5,3",L164-Cos,"2,14","93,34","2,075376884",Negativa,"4,2"
165,2024-06-02,Procesamiento,Costa,Convencional,Refrigerado,No aplica,"21,66",2,"8,13","5,6","0,93","7,53","7,9",L165-Cos,"6,6","91,87","8,096774194",Positiva,7
166,2024-06-09,Procesamiento,Costa,Convencional,Mixto,No aplica,"23,59",4,"4,34",5,"1,11","7,79","5,1",L166-Cos,"6,68","95,66","7,018018018",Negativa,"4,5"
167,2024-06-25,Cosecha,Costa,Orgánico,No refrigerado,No aplica,"24,04",6,"3,36","5,2","2,04","7,17","9,5",L167-Cos,"5,13","96,64","3,514705882",Positiva,"8,4"
168,2024-10-20,Procesamiento,Costa,Convencional,No refrigerado,No aplica,"22,87",3,"9,03","5,4","1,55","5,16","8,8",L168-Cos,"3,61","90,97","3,329032258",Positiva,"7,5"
169,2024-08-19,Distribución,Costa,Orgánico,No refrigerado,No aplica,"20,71",5,"5,27","6,3","2,25","4,07","6,3",L169-Cos,"1,82","94,73","1,808888889",Negativa,"5,4"
170,2024-06-26,Venta,Costa,Convencional,Refrigerado,Supermercados,"23,77",1,"5,74","6,4","1,17","7,81","7,6",L170-Cos,"6,64","94,26","6,675213675",Positiva,7
171,2024-08-25,Cosecha,Costa,Orgánico,Refrigerado,No aplica,"21,48",1,"5,47","5,9","2,3","5,58","7,1",L171-Cos,"3,28","94,53","2,426086957",Positiva,"6,4"
172,2024-01-08,Procesamiento,Costa,Convencional,No refrigerado,No aplica,"23,67",4,"9,28","4,5","1,31","6,39","6,4",L172-Cos,"5,08","90,72","4,877862595",Negativa,"5,7"
173,2024-09-16,Venta,Costa,Convencional,No refrigerado,Mercados locales,"22,05",2,"5,92",7,"1,47","4,9","9,5",L173-Cos,"3,43","94,08","3,333333333",Positiva,"8,7"
174,2024-05-13,Venta,Selva,Convencional,Refrigerado,Mercados locales,"18,49",5,"9,81",5,"1,1","5,75","8,1",L174-Sel,"4,65","90,19","5,227272727",Positiva,7
175,2024-06-04,Distribución,Costa,Convencional,No refrigerado,No aplica,"17,76",3,"8,73","6,6","1,33","4,98","6,5",L175-Cos,"3,65","91,27","3,744360902",Negativa,"5,4"
176,2024-04-17,Distribución,Costa,Convencional,Refrigerado,No aplica,"20,67",2,"7,3","5,3","1,38","6,95","4,7",L176-Cos,"5,57","92,7","5,036231884",Negativa,4
177,2024-09-03,Procesamiento,Selva,Convencional,Refrigerado,No aplica,"16,46",4,"7,77","4,5","1,46","7,97","9,1",L177-Sel,"6,51","92,23","5,45890411",Positiva,"8,2"
178,2024-02-08,Acopio,Sierra,Convencional,No refrigerado,No aplica,"15,5",4,"8,34","5,2","1,56","7,61",6,L178-Sie,"6,05","91,66","4,878205128",Negativa,"4,7"
179,2024-03-24,Distribución,Costa,Convencional,No refrigerado,No aplica,"21,24",5,"5,67","4,4","1,21","7,21","5,3",L179-Cos,6,"94,33","5,958677686",Negativa,"4,6"
180,2024-07-24,Cosecha,Costa,Orgánico,Mixto,No aplica,"22,78",5,"6,96","6,1","2,34","7,93","6,5",L180-Cos,"5,59","93,04","3,388888889",Negativa,"5,5"
181,2024-07-21,Distribución,Costa,Convencional,Refrigerado,No aplica,"22,73",1,"4,69",4,"1,27","5,21","9,5",L181-Cos,"3,94","95,31","4,102362205",Positiva,"8,2"
182,2024-06-06,Cosecha,Costa,Convencional,No refrigerado,No aplica,"21,29",2,"9,92","5,9","1,33","7,35","8,6",L182-Cos,"6,02","90,08","5,526315789",Positiva,"7,9"
183,2024-11-19,Procesamiento,Costa,Convencional,No refrigerado,No aplica,"19,55",6,"7,19","4,3","0,89","7,64","8,2",L183-Cos,"6,75","92,81","8,584269663",Positiva,"7,6"
184,2024-10-02,Venta,Costa,En transición,Refrigerado,Mercados locales,"19,76",3,"11,25","5,3","1,41","4,89","7,5",L184-Cos,"3,48","88,75","3,468085106",Positiva,"6,1"
185,2024-09-13,Distribución,Costa,Convencional,Refrigerado,No aplica,"23,45",3,"7,57","6,9","1,4","6,97","6,7",L185-Cos,"5,57","92,43","4,978571429",Negativa,"5,9"
186,2024-08-28,Acopio,Costa,Convencional,Refrigerado,No aplica,"22,21",3,"3,98","4,8","1,77","5,33",7,L186-Cos,"3,56","96,02","3,011299435",Positiva,"5,8"
187,2024-03-30,Procesamiento,Costa,Convencional,No refrigerado,No aplica,"23,93",2,"3,05","4,7","0,84","4,43","9,5",L187-Cos,"3,59","96,95","5,273809524",Positiva,9
188,2024-07-10,Procesamiento,Costa,Convencional,Refrigerado,No aplica,"20,84",1,"3,8",5,"1,31","7,5",9,L188-Cos,"6,19","96,2","5,72519084",Positiva,"7,8"
189,2024-10-27,Distribución,Selva,Convencional,Refrigerado,No aplica,"15,87",4,"9,18",6,"1,06","6,7","4,5",L189-Sel,"5,64","90,82","6,320754717",Negativa,4
190,2024-03-24,Distribución,Selva,Convencional,No refrigerado,No aplica,"18,87",5,"5,69","5,4","1,17","4,48","7,9",L190-Sel,"3,31","94,31","3,829059829",Positiva,"7,3"
191,2024-02-08,Venta,Costa,Convencional,No refrigerado,Supermercados,"24,66",4,"7,16",4,"1,44","9,65",9,L191-Cos,"8,21","92,84","6,701388889",Positiva,"7,9"
192,2024-12-22,Venta,Costa,Convencional,Mixto,Supermercados,"19,71",3,"7,86","5,6","1,25","6,34","7,6",L192-Cos,"5,09","92,14","5,072",Positiva,"6,9"
193,2024-05-01,Cosecha,Costa,Orgánico,No refrigerado,No aplica,"23,94",4,"4,58",6,"1,78","5,23","8,1",L193-Cos,"3,45","95,42","2,938202247",Positiva,"7,2"
194,2024-06-15,Procesamiento,Costa,Convencional,No refrigerado,No aplica,"24,99",4,"7,08","5,1","1,4","6,82","7,7",L194-Cos,"5,42","92,92","4,871428571",Positiva,"7,1"
195,2024-10-31,Procesamiento,Costa,Convencional,Refrigerado,No aplica,"22,46",2,"7,46",5,"0,87","5,64","4,5",L195-Cos,"4,77","92,54","6,482758621",Negativa,4
196,2024-03-07,Cosecha,Sierra,Convencional,No refrigerado,No aplica,"21,79",5,"4,17","6,9","1,03","7,91","9,5",L196-Sie,"6,88","95,83","7,67961165",Positiva,"8,7"
197,2024-03-27,Venta,Costa,Orgánico,Refrigerado,Supermercados,"21,48",2,"7,4","4,3","2,46","7,26","9,5",L197-Cos,"4,8","92,6","2,951219512",Positiva,"8,9"
198,2024-10-31,Procesamiento,Selva,Convencional,Refrigerado,No aplica,"16,77",1,"5,7",5,"1,34","4,62","8,2",L198-Sel,"3,28","94,3","3,447761194",Positiva,"6,8"
199,2024-10-26,Procesamiento,Costa,Convencional,No refrigerado,No aplica,"24,12",6,"4,36","4,2","1,14","5,08","6,3",L199-Cos,"3,94","95,64","4,456140351",Negativa,"5,8"
200,2024-09-06,Distribución,Costa,Convencional,No refrigerado,No aplica,"20,96",6,"9,96","6,6","1,42","6,28","7,8",L200-Cos,"4,86","90,04","4,422535211",Positiva,"6,8"
201,2024-05-28,Procesamiento,Sierra,Orgánico,No refrigerado,No aplica,"19,31",4,"7,46","6,2","2,03","7,48","7,9",L201-Sie,"5,45","92,54","3,684729064",Positiva,"7,3"
202,2024-03-10,Distribución,Costa,Orgánico,Refrigerado,No aplica,"20,95",1,"7,69","5,5","1,59","7,02","8,1",L202-Cos,"5,43","92,31","4,41509434",Positiva,"7,3"
203,2024-08-06,Procesamiento,Costa,Convencional,Refrigerado,No aplica,"20,81",3,"9,43","5,1","1,53","7,58","9,5",L203-Cos,"6,05","90,57","4,954248366",Positiva,"8,1"
204,2024-07-07,Acopio,Selva,Convencional,No refrigerado,No aplica,"23,5",4,"5,18","4,8","0,83","7,89","6,7",L204-Sel,"7,06","94,82","9,506024096",Negativa,6
205,2024-02-26,Venta,Costa,Convencional,No refrigerado,Mercados locales,"20,45",6,"5,51","6,4","1,08","3,63","7,6",L205-Cos,"2,55","94,49","3,361111111",Positiva,"6,1"
206,2024-05-07,Distribución,Selva,Convencional,Mixto,No aplica,"19,63",7,"8,18","4,4","1,55","7,08","6,5",L206-Sel,"5,53","91,82","4,567741935",Negativa,"5,8"
207,2024-07-06,Distribución,Sierra,Convencional,Refrigerado,No aplica,"21,85",4,"5,85","4,2","1,15","4,44","6,3",L207-Sie,"3,29","94,15","3,860869565",Negativa,"5,1"
208,2024-01-13,Procesamiento,Costa,Orgánico,Refrigerado,No aplica,"22,78",1,5,"6,4","2,21","4,2","9,4",L208-Cos,"1,99",95,"1,900452489",Positiva,"8,4"
209,2024-06-06,Distribución,Costa,Convencional,No refrigerado,No aplica,"20,42",4,"3,15","5,7","1,64","6,2","6,3",L209-Cos,"4,56","96,85","3,780487805",Negativa,"4,9"
210,2024-01-14,Venta,Costa,Convencional,No refrigerado,Supermercados,"22,02",3,"7,1","5,9","0,87","8,73","8,9",L210-Cos,"7,86","92,9","10,03448276",Positiva,"7,8"
211,2024-12-03,Procesamiento,Costa,Convencional,Refrigerado,No aplica,"19,99",3,"8,43","4,8","1,3","5,14",8,L211-Cos,"3,84","91,57","3,953846154",Positiva,7
212,2024-11-15,Distribución,Costa,Convencional,No refrigerado,No aplica,"23,41",2,"3,44","6,5","0,8","4,99","8,8",L212-Cos,"4,19","96,56","6,2375",Positiva,"8,1"
213,2024-02-25,Acopio,Costa,Convencional,Refrigerado,No aplica,"21,05",4,"9,35","6,8","1,22","5,51","8,6",L213-Cos,"4,29","90,65","4,516393443",Positiva,"7,9"
214,2024-01-24,Venta,Costa,Convencional,No refrigerado,Supermercados,"24,85",3,"3,97","4,8","1,68","6,73","8,8",L214-Cos,"5,05","96,03","4,005952381",Positiva,"7,4"
215,2024-02-10,Distribución,Selva,Convencional,Refrigerado,No aplica,"20,61",4,10,"4,3","1,3","5,54","6,9",L215-Sel,"4,24",90,"4,261538462",Negativa,"6,1"
216,2024-04-09,Procesamiento,Costa,Convencional,No refrigerado,No aplica,"22,44",5,"8,95","4,6","1,46","5,89",5,L216-Cos,"4,43","91,05","4,034246575",Negativa,"4,1"
217,2024-03-05,Distribución,Costa,Convencional,Refrigerado,No aplica,"24,55",4,"9,82","4,2","1,48","5,87","8,5",L217-Cos,"4,39","90,18","3,966216216",Positiva,"7,2"
218,2024-12-02,Venta,Costa,Convencional,Refrigerado,Supermercados,"18,51",5,"7,82","4,7","1,71","9,35","7,5",L218-Cos,"7,64","92,18","5,467836257",Positiva,"6,7"
219,2024-12-05,Cosecha,Costa,Convencional,No refrigerado,No aplica,25,6,"6,25","6,9","1,32","6,71","8,2",L219-Cos,"5,39","93,75","5,083333333",Positiva,"6,7"
220,2024-08-11,Procesamiento,Costa,Convencional,Refrigerado,No aplica,"22,46",2,"8,39","6,4","0,92","5,06","9,3",L220-Cos,"4,14","91,61","5,5",Positiva,"8,1"
221,2024-08-04,Acopio,Sierra,Convencional,Refrigerado,No aplica,"20,47",4,"8,93","4,1","1,7","7,13","5,3",L221-Sie,"5,43","91,07","4,194117647",Negativa,"4,2"
222,2024-03-30,Acopio,Costa,Orgánico,No refrigerado,No aplica,"22,62",3,"4,9","6,2","1,97","4,23","8,1",L222-Cos,"2,26","95,1","2,147208122",Positiva,"6,7"
223,2024-10-27,Venta,Costa,Convencional,No refrigerado,Mercados locales,"24,94",2,"4,58","4,6","0,94","4,87","7,9",L223-Cos,"3,93","95,42","5,180851064",Positiva,"7,4"
224,2024-02-16,Acopio,Selva,Convencional,Mixto,No aplica,"21,32",3,"5,42","6,8","1,09","5,88","5,9",L224-Sel,"4,79","94,58","5,394495413",Negativa,"5,1"
225,2024-10-03,Cosecha,Sierra,Convencional,Mixto,No aplica,15,3,"9,71","5,6","1,04",6,"7,4",L225-Sie,"4,96","90,29","5,769230769",Positiva,"6,4"
226,2024-06-09,Venta,Costa,Convencional,No refrigerado,Mercados locales,"21,66",4,"4,16","5,3","1,01","3,15",5,L226-Cos,"2,14","95,84","3,118811881",Negativa,"4,3"
227,2024-11-27,Cosecha,Selva,Convencional,Refrigerado,No aplica,"17,71",4,"9,66",7,"1,51","7,92","7,8",L227-Sel,"6,41","90,34","5,245033113",Positiva,"6,6"
228,2024-10-25,Acopio,Costa,Convencional,Refrigerado,No aplica,"22,33",4,"8,81","6,2","1,16","6,79","7,4",L228-Cos,"5,63","91,19","5,853448276",Positiva,6
229,2024-04-02,Procesamiento,Selva,Convencional,Refrigerado,No aplica,25,1,"6,21","6,3","1,76","7,05","7,4",L229-Sel,"5,29","93,79","4,005681818",Positiva,"6,5"
230,2024-06-03,Procesamiento,Costa,Orgánico,Refrigerado,No aplica,"19,5",4,"3,07","5,5","2,31","5,02","8,7",L230-Cos,"2,71","96,93","2,173160173",Positiva,"7,9"
231,2024-11-18,Cosecha,Costa,Convencional,Refrigerado,No aplica,"20,48",3,"9,68","5,5","1,31","5,93","5,4",L231-Cos,"4,62","90,32","4,526717557",Negativa,4
232,2024-04-23,Acopio,Sierra,En transición,Mixto,No aplica,15,4,"11,95","5,2","1,37","5,66","8,5",L232-Sie,"4,29","88,05","4,131386861",Positiva,"7,6"
233,2024-07-15,Venta,Costa,En transición,Refrigerado,Tiendas especializadas,"20,39",1,"6,23","6,6","1,08","11,75","8,8",L233-Cos,"10,67","93,77","10,87962963",Positiva,"7,8"
234,2024-08-29,Distribución,Costa,Convencional,Refrigerado,No aplica,"21,64",2,"9,25","5,3","1,58","5,91",8,L234-Cos,"4,33","90,75","3,740506329",Positiva,"7,1"
235,2024-10-06,Cosecha,Costa,Orgánico,Refrigerado,No aplica,"21,27",1,"4,19","4,9","2,38","5,84","8,9",L235-Cos,"3,46","95,81","2,453781513",Positiva,"7,5"
236,2024-03-09,Distribución,Costa,Convencional,No refrigerado,No aplica,"24,12",3,"9,13","5,6","1,08","5,7","6,7",L236-Cos,"4,62","90,87","5,277777778",Negativa,"5,6"
237,2024-01-03,Acopio,Sierra,Convencional,No refrigerado,No aplica,"17,57",2,"9,81","4,7","1,1","5,22","6,6",L237-Sie,"4,12","90,19","4,745454545",Negativa,"5,3"
238,2024-07-24,Venta,Costa,Convencional,Refrigerado,Mercados locales,"19,83",5,"5,96","4,9","1,13","5,14","9,5",L238-Cos,"4,01","94,04","4,548672566",Positiva,"8,2"
239,2024-02-01,Cosecha,Costa,En transición,No refrigerado,No aplica,"23,41",6,"6,05","5,1","1,21","7,02","5,9",L239-Cos,"5,81","93,95","5,801652893",Negativa,"5,1"
240,2024-02-20,Cosecha,Sierra,Convencional,Mixto,No aplica,15,3,"3,91","5,7","1,58","6,83","8,6",L240-Sie,"5,25","96,09","4,32278481",Positiva,"7,7"
241,2024-09-07,Acopio,Selva,Convencional,No refrigerado,No aplica,"19,04",2,"3,85","4,4","1,65","5,38","9,5",L241-Sel,"3,73","96,15","3,260606061",Positiva,"8,2"
242,2024-02-01,Cosecha,Costa,Orgánico,Refrigerado,No aplica,"23,47",5,"7,68","5,5","1,88","4,65","9,5",L242-Cos,"2,77","92,32","2,473404255",Positiva,"8,6"
243,2024-12-04,Acopio,Selva,Orgánico,No refrigerado,No aplica,"20,77",2,"7,82","5,3","1,73","6,82","7,4",L243-Sel,"5,09","92,18","3,942196532",Positiva,"6,1"
244,2024-02-12,Distribución,Costa,Convencional,No refrigerado,No aplica,"21,64",6,"9,73","6,1","1,75","4,91","4,1",L244-Cos,"3,16","90,27","2,805714286",Negativa,4
245,2024-11-23,Venta,Costa,Convencional,Refrigerado,Tiendas especializadas,"24,12",3,"8,95","6,9","1,43","8,24","8,6",L245-Cos,"6,81","91,05","5,762237762",Positiva,"7,5"
246,2024-02-02,Cosecha,Costa,Orgánico,Refrigerado,No aplica,"24,5",1,"4,58","6,6","2,11","4,99","5,9",L246-Cos,"2,88","95,42","2,36492891",Negativa,"4,7"
247,2024-08-02,Acopio,Costa,Convencional,Refrigerado,No aplica,"21,69",4,"9,87","6,4","1,53","4,46","6,5",L247-Cos,"2,93","90,13","2,91503268",Negativa,"5,2"
248,2024-02-27,Procesamiento,Sierra,Orgánico,Refrigerado,No aplica,"16,73",1,"2,07","5,4","2,48","4,41","5,7",L248-Sie,"1,93","97,93","1,778225806",Negativa,"4,4"
249,2024-01-02,Cosecha,Costa,Convencional,No refrigerado,No aplica,"18,31",5,"3,52","5,8","1,32","6,96","5,6",L249-Cos,"5,64","96,48","5,272727273",Negativa,"4,7"
250,2024-10-16,Acopio,Sierra,En transición,No refrigerado,No aplica,"17,79",5,"9,19","5,9","1,45","5,07","7,3",L250-Sie,"3,62","90,81","3,496551724",Positiva,"6,7"
251,2024-06-02,Distribución,Costa,Convencional,No refrigerado,No aplica,"23,71",4,"4,9","5,8","1,67","7,79","9,5",L251-Cos,"6,12","95,1","4,664670659",Positiva,"8,6"
252,2024-06-12,Procesamiento,Costa,Convencional,Mixto,No aplica,"19,11",7,"5,86",4,"1,38","5,01","9,1",L252-Cos,"3,63","94,14","3,630434783",Positiva,"7,9"
253,2024-05-06,Venta,Costa,Convencional,No refrigerado,Mercados locales,"23,29",3,"3,06","5,3","0,89","5,25","5,7",L253-Cos,"4,36","96,94","5,898876404",Negativa,"4,7"
254,2024-05-30,Distribución,Sierra,Convencional,No refrigerado,No aplica,"18,66",2,"4,69","6,1","0,89","4,8","5,1",L254-Sie,"3,91","95,31","5,393258427",Negativa,4
255,2024-10-30,Cosecha,Selva,Orgánico,Refrigerado,No aplica,"19,26",2,"6,4","5,8","2,17","4,32","9,2",L255-Sel,"2,15","93,6","1,99078341",Positiva,"8,3"
256,2024-06-27,Acopio,Selva,Convencional,No refrigerado,No aplica,"22,75",4,"7,32","6,2","1,54","6,09",6,L256-Sel,"4,55","92,68","3,954545455",Negativa,"4,9"
257,2024-02-27,Distribución,Costa,Convencional,No refrigerado,No aplica,"23,71",2,"9,27",6,"1,59","5,82","6,8",L257-Cos,"4,23","90,73","3,660377358",Negativa,"6,1"
258,2024-07-23,Acopio,Sierra,Convencional,No refrigerado,No aplica,"19,35",5,"5,94","5,5","1,59","6,4","7,3",L258-Sie,"4,81","94,06","4,025157233",Positiva,"6,1"
259,2024-07-20,Acopio,Sierra,Orgánico,Refrigerado,No aplica,"16,77",2,"4,45","6,8","1,61","6,07","9,5",L259-Sie,"4,46","95,55","3,770186335",Positiva,"8,5"
260,2024-06-01,Venta,Costa,Convencional,No refrigerado,Supermercados,"21,79",3,"6,75","5,1","1,15","9,31","8,6",L260-Cos,"8,16","93,25","8,095652174",Positiva,"7,9"
261,2024-04-18,Distribución,Costa,Convencional,No refrigerado,No aplica,"19,23",3,"9,59","6,6","0,9","5,57","9,5",L261-Cos,"4,67","90,41","6,188888889",Positiva,"8,7"
262,2024-03-27,Procesamiento,Costa,Convencional,No refrigerado,No aplica,"22,35",4,"5,9",4,"1,1","5,84","7,2",L262-Cos,"4,74","94,1","5,309090909",Positiva,6
263,2024-05-01,Cosecha,Sierra,Orgánico,Refrigerado,No aplica,"20,44",2,"3,78","5,6","1,85","5,66","9,5",L263-Sie,"3,81","96,22","3,059459459",Positiva,"8,5"
264,2024-05-16,Acopio,Costa,Orgánico,Refrigerado,No aplica,"19,16",3,"4,01","6,2","2,07","7,94","9,1",L264-Cos,"5,87","95,99","3,835748792",Positiva,"8,4"
265,2024-08-26,Acopio,Costa,Convencional,No refrigerado,No aplica,"20,26",3,"5,29","5,6","1,38","4,09","8,2",L265-Cos,"2,71","94,71","2,963768116",Positiva,"6,7"
266,2024-11-04,Cosecha,Sierra,Orgánico,Refrigerado,No aplica,"19,08",5,"4,35","6,7","1,7","6,03","6,6",L266-Sie,"4,33","95,65","3,547058824",Negativa,"5,4"
267,2024-04-29,Distribución,Costa,Convencional,No refrigerado,No aplica,"23,87",4,"7,82","4,8","0,81","6,89","6,7",L267-Cos,"6,08","92,18","8,50617284",Negativa,"5,2"
268,2024-06-29,Distribución,Costa,Convencional,Refrigerado,No aplica,"21,22",5,"4,28","6,6","1,68","5,87","6,3",L268-Cos,"4,19","95,72","3,494047619",Negativa,"5,4"
269,2024-11-28,Acopio,Sierra,Orgánico,Refrigerado,No aplica,15,4,"7,09","5,6","2,48","5,8","7,7",L269-Sie,"3,32","92,91","2,338709677",Positiva,"6,7"
270,2024-04-16,Distribución,Costa,En transición,No refrigerado,No aplica,"19,84",4,"9,95","5,1","1,17","4,18",6,L270-Cos,"3,01","90,05","3,572649573",Negativa,"4,6"
271,2024-11-13,Venta,Costa,Convencional,No refrigerado,Supermercados,"20,47",2,"7,07","5,3","1,35","8,08","7,8",L271-Cos,"6,73","92,93","5,985185185",Positiva,"6,8"
272,2024-08-02,Distribución,Costa,Convencional,No refrigerado,No aplica,"24,81",5,"4,36","6,7","1,55","7,63",8,L272-Cos,"6,08","95,64","4,922580645",Positiva,"6,8"
273,2024-02-28,Procesamiento,Costa,Convencional,No refrigerado,No aplica,25,5,"6,32","6,1","1,07","4,81","7,4",L273-Cos,"3,74","93,68","4,495327103",Positiva,"6,6"
274,2024-11-13,Cosecha,Costa,Convencional,No refrigerado,No aplica,"23,89",2,"7,09","4,4","1,24","5,8","8,7",L274-Cos,"4,56","92,91","4,677419355",Positiva,"7,8"
275,2024-12-21,Distribución,Costa,Convencional,Refrigerado,No aplica,"22,34",1,"6,7","6,5","1,26","5,11","8,5",L275-Cos,"3,85","93,3","4,055555556",Positiva,"7,9"
276,2024-06-13,Distribución,Costa,Convencional,No refrigerado,No aplica,"22,7",5,"8,42","6,2","0,95","4,87",7,L276-Cos,"3,92","91,58","5,126315789",Positiva,"6,3"
277,2024-09-11,Acopio,Costa,Convencional,Refrigerado,No aplica,"20,92",2,"8,49","5,3",1,"6,06","7,8",L277-Cos,"5,06","91,51","6,06",Positiva,"7,3"
278,2024-12-30,Venta,Selva,Convencional,No refrigerado,Supermercados,"17,88",4,"9,99",5,"1,55","9,23","7,2",L278-Sel,"7,68","90,01","5,95483871",Positiva,"6,7"
279,2024-04-23,Procesamiento,Costa,Convencional,Refrigerado,No aplica,"21,41",4,"7,58","4,7","0,81","7,06","8,9",L279-Cos,"6,25","92,42","8,716049383",Positiva,"7,4"
280,2024-03-14,Distribución,Costa,Convencional,No refrigerado,No aplica,"18,5",4,"7,07",7,"1,56","5,77","4,7",L280-Cos,"4,21","92,93","3,698717949",Negativa,4
281,2024-09-02,Cosecha,Costa,Convencional,No refrigerado,No aplica,"19,03",5,"6,69","4,6","1,8","7,92","4,9",L281-Cos,"6,12","93,31","4,4",Negativa,4
282,2024-02-28,Distribución,Costa,Convencional,Refrigerado,No aplica,25,2,"3,77","6,8","1,43","4,22","6,9",L282-Cos,"2,79","96,23","2,951048951",Negativa,"5,6"
283,2024-04-21,Distribución,Costa,Convencional,Refrigerado,No aplica,"24,46",4,"3,3","5,7","1,25","7,79","9,5",L283-Cos,"6,54","96,7","6,232",Positiva,"8,4"
284,2024-08-17,Cosecha,Costa,Convencional,No refrigerado,No aplica,"23,18",5,"6,42","5,2","0,95","6,29","7,4",L284-Cos,"5,34","93,58","6,621052632",Positiva,"6,7"
285,2024-05-23,Distribución,Costa,Convencional,Refrigerado,No aplica,25,5,"5,96","4,3","1,41","7,52","8,4",L285-Cos,"6,11","94,04","5,333333333",Positiva,"7,2"
