edad,genero,promedio_notas,horas_estudio,nivel_socioeconomico,asistencia_clases,tipo_institucion,acceso_recursos,condicion_laboral,motivacion_academica,distancia_escuela,horas_trabajo,participacion_extracurricular,uso_tecnologia
22,Masculino,75.1,13,Bajo,85,Pública,Medio,Empleado,7.8,18.7,6,Sí,Bajo
22,Masculino,70.7,11,Bajo,86,Privada,Medio,Desempleado,1.2,1.1,8,No,Bajo
23,Femenino,51.8,10.6,Alto,82,Privada,Medio,Empleado,7.2,10.2,14,No,Alto
22,Masculino,68.2,17.5,Bajo,89,Pública,Medio,Desempleado,6.2,17.9,10,No,Medio
19,Masculino,94,18.4,Alto,83,Pública,Alto,Desempleado,9.3,1.2,10,No,Bajo
18,Masculino,68.3,14,Alto,87,Privada,Medio,Desempleado,6.3,19.6,11,Sí,Bajo
24,Femenino,69.5,23.2,Medio,88,Pública,Medio,Desempleado,3.4,13.5,6,Sí,Bajo
20,No Binario,57.3,14.6,Medio,83,Pública,Bajo,Empleado,3.7,7.1,16,No,Alto
18,Masculino,77.4,14,Medio,86,Pública,Medio,Desempleado,5.3,32.2,6,No,Alto
20,No Binario,86.3,11.8,Medio,75,Pública,Alto,Empleado,6.7,7,4,No,Medio
24,Masculino,86.4,12,Medio,82,Privada,Bajo,Desempleado,9,13.9,5,No,Alto
18,No Binario,75.3,16.9,Alto,85,Pública,Medio,Desempleado,7.2,28.9,8,No,Medio
19,Femenino,84.8,9.9,Bajo,87,Privada,Medio,Empleado,9.8,0.9,18,No,Bajo
20,Masculino,72.7,14.2,Bajo,86,Pública,Alto,Desempleado,1.1,2.2,10,No,Alto
18,Femenino,93.4,19.5,Medio,91,Pública,Medio,Desempleado,5.2,24.8,6,No,Alto
19,No Binario,77.2,15.9,Medio,82,Pública,Medio,Desempleado,4.3,28,13,Sí,Alto
18,Masculino,77.2,14.8,Medio,91,Pública,Bajo,Desempleado,2.6,3.9,12,Sí,Bajo
20,Masculino,80.2,17.5,Bajo,90,Privada,Bajo,Empleado,3.1,32.7,10,No,Bajo
20,Femenino,58.7,17.6,Medio,86,Pública,Medio,Desempleado,3,5.7,13,Sí,Alto
20,Femenino,67.9,18.1,Medio,88,Pública,Alto,Desempleado,8.4,1.2,9,No,Bajo
18,Masculino,70.8,14.1,Bajo,83,Pública,Alto,Desempleado,6.3,3.9,9,No,Bajo
24,No Binario,79.6,14.4,Bajo,87,Pública,Medio,Desempleado,4.6,4.2,9,No,Bajo
18,No Binario,70.3,10.3,Alto,80,Pública,Medio,Desempleado,5.7,6.9,10,Sí,Medio
22,Masculino,89.8,8.6,Medio,81,Privada,Bajo,Empleado,8.6,2.4,16,Sí,Alto
19,No Binario,77,19,Alto,83,Pública,Medio,Desempleado,5.7,1.7,9,Sí,Alto
22,Masculino,81.8,14.3,Medio,85,Pública,Bajo,Desempleado,1.9,3,5,Sí,Medio
23,No Binario,87.1,9.4,Medio,86,Pública,Alto,Empleado,6.8,21.5,7,No,Alto
19,Femenino,73.2,15.2,Medio,84,Privada,Alto,Desempleado,6.9,0.7,9,No,Bajo
17,Femenino,92,29.7,Bajo,86,Pública,Alto,Desempleado,6.6,7.9,8,Sí,Medio
22,No Binario,62.6,3.9,Medio,82,Pública,Medio,Desempleado,9.3,4.4,9,Sí,Alto
25,Femenino,86.4,19.2,Medio,83,Pública,Medio,Empleado,2.9,5.8,9,No,Bajo
22,Masculino,78,6.7,Bajo,81,Privada,Bajo,Desempleado,10,12.8,10,Sí,Alto
21,Femenino,71.9,9.5,Medio,92,Privada,Medio,Desempleado,1.6,34.3,10,Sí,Bajo
23,Masculino,61.1,10.1,Medio,87,Pública,Alto,Empleado,8,29.8,8,Sí,Bajo
23,Masculino,78.4,13.8,Bajo,92,Pública,Bajo,Desempleado,6.5,13.8,16,Sí,Bajo
19,No Binario,80.8,19.9,Bajo,79,Pública,Medio,Desempleado,8.1,2.4,11,No,Bajo
20,Femenino,90.8,27,Alto,80,Pública,Alto,Empleado,4.2,2.2,15,Sí,Bajo
22,Femenino,82.8,15.9,Bajo,86,Pública,Alto,Desempleado,10,3.2,13,No,Alto
21,No Binario,69,22.4,Medio,84,Pública,Medio,Empleado,2.1,13.8,10,No,Bajo
24,Masculino,58.3,22.5,Alto,81,Pública,Medio,Desempleado,6.7,4.4,18,Sí,Medio
20,No Binario,80.5,11.1,Bajo,85,Pública,Medio,Desempleado,9.7,3,13,Sí,Bajo
23,No Binario,72.8,19.8,Medio,85,Pública,Medio,Empleado,6.7,5.6,9,No,Alto
22,Femenino,80.1,16,Medio,79,Pública,Medio,Desempleado,5.9,0.2,7,No,Bajo
21,Masculino,78.2,22.2,Bajo,89,Privada,Bajo,Desempleado,4.8,9.3,9,No,Medio
23,Masculino,75.2,14.4,Medio,78,Privada,Bajo,Desempleado,7.1,6.3,12,No,Alto
22,Masculino,62.3,11.5,Bajo,84,Privada,Medio,Desempleado,8.3,25.5,16,No,Medio
19,No Binario,70.3,14.5,Alto,80,Privada,Medio,Empleado,4.8,4.5,13,Sí,Alto
22,No Binario,77.2,20.2,Medio,78,Privada,Alto,Desempleado,9.9,0.3,9,Sí,Medio
24,No Binario,69.3,6,Alto,81,Privada,Bajo,Desempleado,5.1,12.8,13,Sí,Alto
21,No Binario,80.1,17.1,Medio,82,Pública,Medio,Desempleado,3.6,9.4,11,Sí,Medio
21,Masculino,86.2,13.4,Medio,83,Pública,Medio,Empleado,6.4,6.2,11,Sí,Bajo
20,Femenino,62.8,7.8,Alto,81,Pública,Alto,Desempleado,1.6,26.1,8,Sí,Alto
21,Masculino,78.8,13.2,Medio,87,Pública,Bajo,Desempleado,2.8,7.4,12,No,Medio
22,Masculino,65.7,17.4,Medio,89,Privada,Medio,Desempleado,3.9,3,12,Sí,Alto
19,Masculino,84.2,10.5,Medio,91,Pública,Alto,Empleado,8.1,23.4,18,Sí,Alto
18,Masculino,66.9,20.5,Bajo,85,Pública,Medio,Empleado,2.7,6.2,6,Sí,Medio
20,No Binario,84.9,18.2,Alto,88,Pública,Medio,Empleado,6.5,13.1,8,Sí,Alto
18,Masculino,73.3,15.2,Alto,82,Pública,Medio,Desempleado,9.8,6.3,6,Sí,Bajo
22,Masculino,51.1,10.4,Medio,87,Pública,Alto,Empleado,7.8,4.7,18,No,Medio
20,Femenino,95.3,18.4,Medio,86,Pública,Alto,Empleado,5.3,0.3,14,No,Medio
17,Masculino,82.7,21,Bajo,87,Privada,Alto,Desempleado,8.3,16.1,1,Sí,Alto
20,Femenino,78.9,19.1,Medio,88,Privada,Medio,Desempleado,2.1,12.1,15,No,Alto
21,Masculino,82.2,16.7,Alto,81,Pública,Bajo,Desempleado,6.3,1.2,10,Sí,Alto
22,Masculino,75,17.3,Medio,85,Pública,Bajo,Desempleado,4.4,6.9,9,No,Medio
21,No Binario,76.6,9.5,Bajo,84,Pública,Medio,Empleado,9.2,10.7,5,Sí,Alto
25,Femenino,79,18.6,Medio,84,Privada,Medio,Desempleado,3.8,6.6,9,No,Bajo
20,Masculino,70.7,14,Medio,84,Pública,Alto,Empleado,7.2,24.8,7,No,Medio
21,No Binario,87.2,5.2,Alto,85,Pública,Medio,Empleado,3.1,12.7,10,No,Medio
21,Femenino,88.2,6.1,Bajo,90,Privada,Alto,Empleado,7.8,1,12,No,Alto
20,Masculino,74.3,11.9,Bajo,86,Pública,Medio,Desempleado,9.8,20,12,Sí,Bajo
21,No Binario,79.6,9,Medio,90,Pública,Alto,Empleado,5.2,7.2,18,No,Bajo
22,Masculino,68.3,18.4,Medio,79,Privada,Bajo,Empleado,9,22.3,14,Sí,Bajo
24,Femenino,86,16.1,Medio,80,Pública,Alto,Desempleado,4.1,18.3,10,No,Alto
18,Femenino,54.3,16,Medio,86,Pública,Bajo,Desempleado,4.5,25.3,7,No,Alto
20,No Binario,65,18.3,Medio,83,Privada,Alto,Desempleado,2,29.8,8,Sí,Medio
20,Masculino,68.4,18.6,Medio,87,Privada,Medio,Desempleado,9.5,15.4,6,No,Medio
23,Femenino,72.1,26,Medio,85,Pública,Alto,Desempleado,5.7,13.2,11,No,Medio
20,Masculino,94.5,17.3,Bajo,88,Pública,Alto,Empleado,4.9,6.7,10,No,Alto
17,Femenino,61.3,7.7,Medio,83,Privada,Alto,Desempleado,1.6,44.7,10,No,Medio
21,No Binario,76.4,11.7,Alto,90,Pública,Medio,Desempleado,1.7,6.6,8,No,Medio
21,Masculino,83,12.3,Bajo,83,Pública,Alto,Desempleado,3.6,12,9,No,Bajo
21,No Binario,68.2,14.3,Medio,88,Pública,Medio,Empleado,8.7,17.4,11,No,Bajo
19,No Binario,83,16.9,Alto,87,Privada,Alto,Desempleado,9.5,2.7,11,No,Alto
24,Femenino,69.6,15.8,Medio,86,Pública,Medio,Desempleado,7.4,11.3,8,Sí,Medio
20,No Binario,76.9,18,Alto,86,Privada,Alto,Desempleado,8.8,7.3,13,Sí,Bajo
21,No Binario,56.2,13.6,Alto,86,Pública,Alto,Empleado,8.2,17.1,10,Sí,Alto
19,Masculino,68.4,13.8,Alto,84,Privada,Medio,Empleado,9.8,6.5,13,No,Alto
19,Masculino,67.7,13.9,Medio,85,Pública,Bajo,Desempleado,4.6,15.9,12,Sí,Bajo
19,No Binario,94.9,6.2,Medio,86,Pública,Alto,Desempleado,8.5,2.3,6,No,Alto
20,Femenino,108.4,16.8,Medio,81,Pública,Medio,Desempleado,9.2,5.5,9,Sí,Alto
19,Masculino,72.1,4.4,Medio,80,Pública,Medio,Desempleado,8.3,1.2,11,Sí,Alto
25,No Binario,78.7,21.1,Bajo,84,Privada,Medio,Desempleado,8.8,2.6,10,Sí,Alto
17,Masculino,45.3,21.7,Medio,85,Pública,Medio,Empleado,1,1.6,13,Sí,Bajo
19,Femenino,61.9,12.3,Alto,84,Privada,Medio,Empleado,7.4,16.5,11,Sí,Medio
20,Femenino,60.8,15.8,Alto,82,Privada,Medio,Desempleado,4.8,7.8,13,No,Medio
22,Masculino,80,9,Alto,82,Pública,Bajo,Desempleado,3,13.4,13,No,Alto
20,Masculino,66.5,15.9,Medio,82,Pública,Alto,Empleado,8.9,13.6,9,Sí,Bajo
22,No Binario,85.4,23.7,Bajo,86,Pública,Bajo,Empleado,5.4,3.3,10,Sí,Alto
19,Masculino,82.3,14.4,Bajo,79,Pública,Bajo,Desempleado,1.1,9.3,7,Sí,Bajo
21,No Binario,70.3,19.5,Medio,89,Privada,Medio,Desempleado,2.6,8.4,10,Sí,Alto
24,No Binario,66.9,10.9,Medio,90,Pública,Alto,Empleado,2.2,6.7,7,Sí,Alto
19,Masculino,72.9,9.6,Medio,89,Pública,Medio,Desempleado,9.1,0.7,11,No,Medio
22,Femenino,94.8,17.3,Bajo,87,Pública,Alto,Empleado,7.5,4.5,14,No,Bajo
21,No Binario,68.8,17.1,Bajo,83,Pública,Medio,Empleado,5,11.2,12,Sí,Bajo
24,Femenino,69.6,15.8,Medio,86,Pública,Medio,Desempleado,7.4,11.3,8,Sí,Medio
20,No Binario,76.9,18,Alto,86,Privada,Alto,Desempleado,8.8,7.3,13,Sí,Bajo
21,No Binario,56.2,13.6,Alto,86,Pública,Alto,Empleado,8.2,17.1,10,Sí,Alto
19,Masculino,68.4,13.8,Alto,84,Privada,Medio,Empleado,9.8,6.5,13,No,Alto
19,Masculino,67.7,13.9,Medio,85,Pública,Bajo,Desempleado,4.6,15.9,12,Sí,Bajo
19,No Binario,94.9,6.2,Medio,86,Pública,Alto,Desempleado,8.5,2.3,6,No,Alto
20,Femenino,108.4,16.8,Medio,81,Pública,Medio,Desempleado,9.2,5.5,9,Sí,Alto
19,Masculino,72.1,4.4,Medio,80,Pública,Medio,Desempleado,8.3,1.2,11,Sí,Alto
25,No Binario,78.7,21.1,Bajo,84,Privada,Medio,Desempleado,8.8,2.6,10,Sí,Alto
17,Masculino,45.3,21.7,Medio,85,Pública,Medio,Empleado,1,1.6,13,Sí,Bajo
19,Femenino,61.9,12.3,Alto,84,Privada,Medio,Empleado,7.4,16.5,11,Sí,Medio
20,Femenino,60.8,15.8,Alto,82,Privada,Medio,Desempleado,4.8,7.8,13,No,Medio
22,Masculino,80,9,Alto,82,Pública,Bajo,Desempleado,3,13.4,13,No,Alto
20,Masculino,66.5,15.9,Medio,82,Pública,Alto,Empleado,8.9,13.6,9,Sí,Bajo
